Sum,Category,Sub Category,Counts,Names
148,Processor,RISCV,111,"RISCV_NO_PIPELINE, RISCV_PIPELINE, RISCV_Three_Stage, riscv-pipelined, Risc-Processor, RISC-Pipelined-CPU-RAM, RISC-Tai, riscv_picorv32, RISCV-CPU-PIPELINE-verilog, RISC-V-Pipeline-CPU, RISC_V-processor, riscv_stb, Risc5-Pipelined-Processor, RISC-V-Pipelined, RISC-y-Business, RISCVPipelinedProcessor, RISCVi-and-Cache, RISC-V_pipelined_cpu, risc-simple, riscvofdm, riscv-cpu-verilog-code, RISCV-CPU-2022, RISC-V-CPU, RISCV-CPU-OJ, RISCV-CPU-ACMOJ-Sample, RISCV-CPU, RISCV-CPU-verilog, riscv-src, RISCV-Datapath, RISC-V-Semi-Core, RISCV-CPU-2023, risc16f84, RISC-CPU-Components, riscv_openocd, RISC_V_CPU, RISCV_Network_Accelerator, riscv_basic, RISC-V_HDP, risc-vapor, riscv_de10lite, RISC-Pipelined-Microprocessor, 64-bit-Single-Cycle-RISC-V-CPU, riscv32i, riscv-iitg, RISCV-SoC, RISC-V-Single-Cycle-Processor, RISCV32-IC-single-cycle-processor, RISCV32-IC-5-stage-pipeline-processor, RISC-V-Implementation-, RISC-V__Single, RISCV_uC, riscvDesign, RISC-V-Implementation, RISC-MIPS, riscv-soft, riscv-cocotb, RISC-V-Ladder, RiscV-32I-Pipeline-Verilog, 32bit-RiscV-implementation, beta-risc, Single_Cycle_RISC_V_Processor, 32-bit-RISC-Processor-, 32_Bit_RISC_Arithmetic_Logic_Unit, Pipelined-RISC, RISCBench, RISCV-Pipelined-CPU, 2-stage-pipeline-Risc-V-Processor, RISC-V-Implementation-Piplined, basic-risc-microprocessor, Single-Cycle-32-bit-RISC-V-Processor, 32_Bit_Pipelined_RISC_Processor, bluspec_riscv, RISCV-32, RISCVCPU, RISC-V-implementation-using-Verilog-, ama-riscv, riscv--verilog, RISCV-implementation, RISCV-Single-Cycle, RISC-V-32-pipeline-CPU, 32bit_RISC-V, RISC-Pipelined-Processor, RISCVPipeline, RISC-V_Processor, RISC-V-chisel, RISC-V-SoC, RISCV_CPU_Verilog, RISCY-Processor, RISCV32-Processor, RISC-V-Processor-with-Pipelining, RISC-V-32bit, 16-bit-risc-cpu, risc-proj, RISC-V_32I, RISCV-MIPS, 32_bit_RISCV_Processor, risc8, ASFRV32IM-super, bic-RV32IM-islemci, AHD_RV32I, ASFRV32IM-super2, accomdemy_rv32i, ASFRV32I, e18-co502-RV32IM-pipeline-implementation-group7, Chenhui_RV32, Trochilus, Sprouts100, KAUE, Rocket-Chip, luna-soc, TomRiVer-CPU"
,,MIPS,26,"Piplined_MIPS_microprocessor, simple-MIPS32-processor, MIPS-Singe-Cycle-Processor, MIPS-32-bit-Single_Cycle_Architecture_Implementation, MIPS-16b, MIPS32, MIPS_AES, 32-bit-Single-Cycle-MIPS-Processor, arithmetic-logic-unit-for-mips-processors, RICS-MIPS-32bitCPU, MIPS32-Pipelined-Processor, multicycle-mips, MIPS32_Pipeline, Pipelining-5-Stages-MIPS-Processor, Single-Cycle-MIPS-Processor, AM04-MIPS-CPU, MIPS-CPU, MIPS_32_Verilog_Implementation, MIPS-Datapath-Addition, Pipelined-MIPS-Processor, 32-bit-Five-Stage-Pipeline-MIPS-Design-and-Implementation, MIPS-ALU-32-Bit, MIPS-32-bits-Micro-Processor, ECE369-MIPS-Processor, schoolMIPS, Subarashii-CPU"
,,AI,3,"Fpga-Implementation-of-Precise-Convolutional-Neural-Network-for-Extreme-Learning-Machine, HedgeHog-Fused-Spiking-Neural-Network-Emulator-Compute-Engine, RISCV_Network_Accelerator"
,,Processor Others,8,"ImageProcessing1, BitMap-Image-Processor, Verilog-Image-Processing, FPGA-based-Audio-Processing, audio_multi_effects_processor, pyramid, FPU-GP, FPU"
184,arithmetic,Adder,38,"Full-Adder-using-Synopsys-VCS-Verdi-at-UMN-TwinCities, IEEE754AdderASIC, 4Bit-Adder_Subtractor, Half_adder_Day_001, 4bit_Full_Adder_Substractor, Day1_RTL_Half_Adder, Half_Adder_Day-001, Half_Adder_Day-01, RTL-Day-2-Adder-Subtractor, Half-Adder-Day-001-, Advanced-Digital-Design_Lab1-Build-Adders-Subtractors-and-Multipliers, 5-Bit-Ripple-Carry-Adder-RCA-, fulladder_verilog, Half-adder-Day-001, RC-CL-Adders, Kogge-Stone-Adder-Day-035-, RTL-Day-29-Carry-Look-Ahead-Adder, 8-bit-ALU-Adder-Subtractor, Carry-Select-Adder-Day-036-, FullAdder_Subtractor_4bit, Adder-Cum-Subtractor-Day-046-, Project_9_BCDAdder, Full-Adder-Day-002-, 8-Bit-Serial-Adder-Design-using-Mealy-machine, RTL-Day-6-Parallel-Adder-Subtractor, FullAdder4Bit, 4-bit-full-adder-using-half-adder, 50002_cohort4group2_4bitFullAdder_2019, 4-bit-full-adder, FullAdder, Full_Adder_Day-002, 16-bit-Adder-in-Verilog, Ripple-Carry-Adder-Day-003-, RTL-Day-12-One-Digit-BCD-Adder, Ripple_Carry_Adder_Day-003, Implementing-1-Bit-Full-Adder-by-Behavioral-Design-and-4-Bit-Ripple-Carry-Adder-by-Structural-Design, Day-03-Full-Adder-Gate-Level-Modelling-, Day-02-Half-Adder-Gate-Level-Modelling-"
,,Multipiler,9,"Multiplier, DeBAM_Decoder_based_Approximate_Multiplier, Multiplier-Accumulator, Pipelined-Multiplier, Wallace-Multiplier, booth_wallace_multiplier, Multiplier-and-Accumulator, Shift-and-Add-Accumulator-Based-Multiplier-Design, rv32m-multiplier-and-divider"
,,Shifter,15,"16-bit-Barrel-Shifter, Parametric_barrel_shifter, Verilog-Program-Counter-and-Shifter, 8bit_Barrel_Shifter, Barrel_Shifter_V, Barrel-Shifter-16-bit-Using-Verilog, 16bit_barrel_shifter, BarrelShifter, 16bit-BarrelShifter-verilog, Barrel-Shifter-Day-093-, barrel-shifter-16bits-DDCO, Barrel-Shifter-with-SLT, PWM-Shifter, Barrel-Shifter-8-bit, 4-Bit-Universal-Shifter"
,,Counter,66,"FPGA-Counter, SpencerFrequencyCounter, Gray_Counter-Day-020-, 4bit_binary_counter, Binary-counter-MOJO-V3-VHDL, Generic-Mod-N-Counter, Verilog-Code-for-free-running-binary-counter, 4bit-Counter, asic-frequency_counter, aes220-peak-counter, Johnson-Counter, 4-Bit-Up-Down-Counter-w-Multiplexed-7-Segment-Display, Mod-8-Up-Down-Synchronous-Counter-using-130nm-CMOS-Technology-, Up-Down-Counter-using-Verilog, Up-Down-Counter, Ring-Counter, Memory-Counters-Verilog, Word-Frequency-Counter, 3bit_binary-gray_counter, Design-implement-a-3-bit-Up-Down-Counter-In-Digital-design-and-computer-organisation, Counter_Digit, ProgramCounter, decade_counter, DukeFrequencyCounter, octal-and-decimal-counter, 4-Bit-UP-DOWN-counters-Icarus-Verilog_Project, Auto-scaled-LF-counter, Decade_counter_008, Decade_Counter-Day-008-, FrequencyCounter, dvsd_4bit_binary_counter, RodriguezFrequencyCounter, 3-Bit-Ripple-Counter, Frequency_counter, Frequency-counter-with-LCD-display, MOD-N-Counter-Day-022-, RyanGrayFrequencyCounter, Fast-Binary-Counters-and-Compressors-Generated-by-Sorting-Network, Cascaded-Decade-Counters-, fpga_shift_counter, Down_counter_Day19, Gray-Counter-Design-using-Verilog, Down-Counter-Day-019-, Lodable_4bit_up_counter, Ripple-Counter, Counter_test, Johnson_Ring_Counter, tt03p5-4-trit-balanced-ternary-counter-bt_signb_bt-radix-convertor, Up_Counter-Day-018-, Binary-Loadable-Up-Counter, FPGA-Frequency-Counter, Johnson-Counter-Day-070-, binary_counter, OzoudeFrequencyCounter, Decade_Counter_Day-008, Slow_Decade_Counter, Mod-N_Counter-Day-022, Program-Counter, BinaryCounter, Up-Down_Binary_Counter_with_Dynamic_Count_to_Flag, FPGA-Based-Digital-Ticket-Counter, frequency-counter, 127-bit-ones-counter, Binary-counter-using-FF-and-Latches, Multi-Output-4-Bit-Up-Down-Counter, UP_COUNTER_Day-018"
,,ALU,42,"32-Bit-Arithmetic-Logic-Unit-Design, 4-Bit-Arithmetic-Logic-Unit-Design-with-registered-output, 32-bit-ALU-RISC-Processor, 8-Bit-ALU-Design, ALU4FPGA, tt05-4bits-ALU, ALUmojo, ALU_8_bit, Arithmetic-Logic-Unit-ALU-Design-and-Simulation-In-Verilog-and-Proteus, RISCV-ALU, ALU-with-decoder-, 8-bit-ALU-using-structural-and-behavioral-description, ALU_Basys3, ALU-module, CodecPowerEvaluation, verilog-alu, alu2020, ALU-32bits, CPSC4210_ALU, ALU-Arithmetic-Logic-Unit--Implementation, ALU-shift-unit-multiplexer-and-registers, Verilog_ALU, tropicalu, Pipelined-ALU, thirty-two-bits-ALU, 16-bit-ALU-, ALU_verilog, 4-bit-alu, 16bitALU, 4-bit-16-function-complete-alu, ALU-verilog, Synchronous-4-bit-ALU, ALU-DMAC-Digital-Circuit-2019, 32bit-ALU, ALU_Day-030, tt06-ALU-Decoders, ALU, Modeling-a-Multifunction-ALU, 32-bit-ALU, 16_Bit_ALU, Arithmetic_Logic_Unit, ALSU"
,,Arithmetic Others,14,"floating-point-multiplication, Floating-point-MAC, Floating-point-arithmetic-unit-old-, Floating-point-MAC-verilog, 16BIT-MAC-UNIT, MAC, ADCD_7seg_Comparator, Project_10_3bitComparator, chip-comparator, dvsd_4bit_magnitude_comparator, Magnitude-Comparator, Day-009-Comparator, Five-Bit-Magnitude-Comparator, combined_Mux_Demux"
