Circuit,Succ,Input,Output,Lat,And,Lev
RISC_Prathama,1,9,5,0,42,11
8-bit-ALU-using-structural-and-behavioral-description,1,3,2,0,9,4
ArbiterRISCV,1,4,7,0,45,6
4-bit-Universal-Shift-Register-,1,27,27,0,103,27
ECG-signal-processing-using-ModelSim,1,63,32,0,207,81
5-stage-RISC-V-pipelined-processor,1,65,65,0,0,0
axiom-micro-gateware,1,65,33,0,95,25
risc_core,1,16,16,0,59,16
FSM_Motor_PWM_control_Timer,1,5,1,0,7,4
RTL-Day-6-Parallel-Adder-Subtractor,1,3,2,0,9,4
VerilogHDL-PulseWidthModulation,1,4,4,0,0,0
icestick-fpga-uart,1,8,8,0,27,8
FPGA_PWM_Moter,1,7,7,0,23,7
core_jpeg,1,16,16,0,45,16
tt03-verilog-pwm,1,2,1,0,1,1
RISC_MIPS_CPU,1,65,33,0,354,78
mojo_fpga_sn74ls49,1,10,10,0,35,10
RISCV-Multi-Cycle,1,129,64,0,192,2
16-bit-Arithmetic-Logic-Unit,1,3,2,0,9,4
foss-eda-tools,1,2,1,0,1,1
Risc5-Pipelined-Processor,1,65,33,0,115,30
RISC-Tai,1,2065,2367,0,13586,22
4_channel_DMA,1,10,8,0,15,6
FPGADecoder,1,2,4,0,4,1
RISC-V-Pipelined,1,65,33,0,115,30
RISC-V-chisel,1,65,33,0,115,30
nano_4k_quad_7segment,1,14,14,0,51,14
MIPS_AES,1,8,8,0,27,8
100Hz-PWM-1ppm,1,32,32,0,123,32
riskow,1,65,6,0,206,67
32bit_priority_encoder,1,9,5,0,23,7
riscv32i_piplined_cpu_verilog,1,32,32,0,123,32
simple-arbiter,1,93,95,0,416,9
ColourRunner,1,4,4,0,0,0
RISCV-Datapath,1,645,682,0,2519,10
tt_spi_pwm,1,4,4,0,1,1
riscv-cpu-verilog-code,1,546,578,0,3796,14
Hexadecimal-Keypad-Scanner-and-Encoder,1,13,17,0,85,11
KAUE,1,8,10,0,59,10
DigitalElectronicsProject,1,13,16,0,47,6
verilog-decoder-mux,1,2,4,0,4,1
PWM_1,1,24,1,0,47,7
TP-ISL-4-Bit-encoder-with-7-segments-display,1,11,10,0,43,8
CPU,1,32,32,0,93,32
CANDecoder,1,9,9,0,31,9
ECE09243-Lab4,1,3,2,0,9,4
