Design,Module,Succ,Input,Output,FFs,Nds,Lev
uart_programmable_rv32i,tt_um_enieman_DW_rash_1,1,37,32,0,243,0
uart_programmable_rv32i,tt_um_enieman_DW01_ash_0,1,37,32,0,255,0
uart_programmable_rv32i,tt_um_enieman,1,7,84,950,4638,0
uart_programmable_rv32i,tt_um_enieman_DW01_cmp6_1,1,64,2,0,162,0
uart_programmable_rv32i,tt_um_enieman_DW01_add_1,1,30,30,0,88,0
uart_programmable_rv32i,tt_um_enieman_DW01_add_0,1,64,32,0,236,0
uart_programmable_rv32i,tt_um_enieman_DW01_addsub_0,1,65,32,0,293,0
RISC-V-Implementation-Piplined,ALU_DW01_add_0,1,65,32,0,240,0
RISC-V-Implementation-Piplined,ALU,1,67,32,0,500,0
riscv--verilog,ifidreg,1,68,0,64,200,0
RISCVCPU,CPU_DW01_addsub_0,1,64,32,0,236,0
RISCVCPU,CPU_DW01_cmp6_0,1,64,2,0,196,0
RISCVCPU,CPU_DW01_add_0,1,30,30,0,88,0
RISCVCPU,CPU,1,3,149,36,3062,0
RISC-V-implementation-using-Verilog-,Alu_DW01_addsub_0,1,65,32,0,293,0
RISC-V-implementation-using-Verilog-,Alu,1,66,1,0,533,0
Trochilus,QPU_V,1,36,20,130,940,0
Trochilus,QPU_V_DW01_addsub_0,1,21,12,0,106,0
Trochilus,QPU_V_DW01_addsub_1,1,24,16,0,95,0
Trochilus,QPU_V_DW01_inc_0,1,8,8,0,22,0
Trochilus,QPU_V_DW01_inc_1,1,16,16,0,46,0
RISC-V-Ladder,Ladder_DW01_cmp2_3,1,128,1,0,277,0
RISC-V-Ladder,Ladder_DW01_cmp2_4,1,128,1,0,275,0
RISC-V-Ladder,Ladder_DW_rash_13,1,37,32,0,243,0
RISC-V-Ladder,Ladder_DW01_add_0_DW01_add_4,1,68,63,0,200,0
RISC-V-Ladder,Ladder_DW01_add_24_DW01_add_28,1,63,61,0,185,0
RISC-V-Ladder,Ladder_DW01_cmp6_19_DW01_cmp6_93,1,128,1,0,213,0
RISC-V-Ladder,Ladder_DW_rash_12,1,37,31,0,281,0
RISC-V-Ladder,Ladder_DW01_add_4_DW01_add_8,1,128,64,0,492,0
RISC-V-Ladder,Ladder_DW01_cmp2_5,1,128,1,0,277,0
RISC-V-Ladder,Ladder_DW01_cmp6_18_DW01_cmp6_92,1,106,1,0,178,0
RISC-V-Ladder,Ladder_DW01_sub_7_DW01_sub_10,1,255,128,0,768,0
RISC-V-Ladder,Ladder_DW01_add_26_DW01_add_30,1,30,30,0,88,0
RISC-V-Ladder,Ladder_DW01_add_28_DW01_add_32,1,64,32,0,236,0
RISC-V-Ladder,Ladder_DW01_sub_14_DW01_sub_17,1,14,7,0,46,0
RISC-V-Ladder,Ladder_DW01_inc_14_DW01_inc_19,1,65,66,0,196,0
RISC-V-Ladder,Ladder_DW_rash_4,1,70,63,0,620,0
RISC-V-Ladder,Ladder_DW_rash_3,1,69,64,0,565,0
RISC-V-Ladder,Ladder_DW01_cmp6_152_DW01_cmp6_226,1,150,1,0,255,0
RISC-V-Ladder,Ladder_DW01_cmp6_34_DW01_cmp6_108,1,106,1,0,178,0
RISC-V-Ladder,Ladder_DW_rash_2,1,69,63,0,578,0
RISC-V-Ladder,Ladder_DW01_inc_10_DW01_inc_15,1,65,66,0,196,0
RISC-V-Ladder,Ladder_DW_rash_5,1,70,64,0,621,0
RISC-V-Ladder,Ladder_DW01_inc_11_DW01_inc_16,1,7,7,0,19,0
